historical_avg_session_minutes,historical_sessions_last_7d,days_since_last_session,hour_of_day,day_of_week,push_received_last_24h,segment,device_os,site,entry_point,session_minutes
94.00494558393578,23,62,14,Sunday,4,new,iOS,web,push_notification,47.881536543791555
55.471020571486015,20,48,19,Monday,0,casual,Android,web,deep_link,38.30956530174383
103.73876078980898,27,89,15,Saturday,6,regular,Android,mobile_app,deep_link,58.649837577052395
85.19732334182684,28,69,14,Thursday,4,new,Android,web,deep_link,56.86460438555115
15.830395007079696,21,1,11,Saturday,7,casual,iOS,web,deep_link,45.77917534559178
117.19657043822693,11,34,5,Thursday,6,casual,iOS,tablet_app,push_notification,60.5882357784276
92.5310657288906,17,26,6,Tuesday,7,new,iOS,mobile_app,organic,49.27593686400586
95.39739510684969,12,52,17,Saturday,4,power_user,Android,tablet_app,organic,52.066974865596976
19.733067757687774,18,23,1,Friday,0,casual,iOS,mobile_app,search,33.73960857645085
56.79438285799022,24,86,2,Thursday,1,power_user,Android,mobile_app,deep_link,50.565335554857455
47.64177278674684,11,26,9,Wednesday,4,regular,Android,tablet_app,deep_link,35.03533865155512
111.5779737175892,15,46,18,Wednesday,3,power_user,Android,web,deep_link,66.07984510478252
79.04448880927642,1,11,15,Thursday,7,power_user,iOS,mobile_app,organic,48.133282680576
99.61758552614545,22,81,14,Tuesday,4,regular,iOS,tablet_app,search,49.463282941979486
55.99263286514308,14,82,12,Tuesday,8,casual,iOS,web,deep_link,23.250333748412878
31.132453005249342,13,71,2,Tuesday,1,casual,iOS,tablet_app,search,17.05797135032768
68.777250506821,15,31,7,Monday,3,power_user,Android,web,deep_link,63.6506051503142
12.338984451980162,6,5,1,Sunday,7,casual,iOS,mobile_app,deep_link,17.02395202428624
100.17758477914694,17,63,18,Tuesday,1,regular,Android,tablet_app,push_notification,45.65193693836375
77.64140589903745,22,38,18,Tuesday,3,new,iOS,web,deep_link,49.14454794887209
92.180090109818,10,89,6,Tuesday,7,power_user,Android,tablet_app,push_notification,51.200603892186905
45.77048633493486,3,62,7,Sunday,5,regular,iOS,web,deep_link,6.2994423769836665
116.63027280541388,11,48,7,Thursday,7,casual,iOS,web,deep_link,49.88579204406958
107.70892895205273,5,88,21,Wednesday,5,regular,iOS,mobile_app,deep_link,36.544431163925495
94.51410216348262,11,72,11,Wednesday,8,casual,iOS,mobile_app,organic,37.082743514724186
27.38345140297627,18,41,18,Monday,8,new,Android,tablet_app,push_notification,33.41408402137348
58.67291542860893,3,1,10,Wednesday,9,power_user,Android,tablet_app,deep_link,41.17125394691493
10.03743306553131,22,8,16,Tuesday,1,power_user,iOS,tablet_app,deep_link,45.361072190378835
22.743291587768,6,39,12,Saturday,5,power_user,iOS,mobile_app,organic,27.90588109636548
83.55062962288228,26,50,6,Monday,1,casual,Android,web,deep_link,52.23879802193101
90.64764792939897,21,2,21,Wednesday,2,casual,iOS,tablet_app,search,66.67360322208069
116.26361922993415,8,11,17,Saturday,3,new,Android,mobile_app,deep_link,50.51003824010557
42.46991618588747,16,63,18,Saturday,6,regular,iOS,web,push_notification,32.94991910459164
47.60286619400992,3,67,22,Thursday,4,casual,Android,tablet_app,search,7.005352333717583
58.99891829671791,2,2,5,Tuesday,8,power_user,Android,mobile_app,organic,44.65635943248304
26.789206294692853,28,45,2,Wednesday,2,power_user,iOS,mobile_app,deep_link,52.80474356731964
19.94097311357924,24,7,13,Tuesday,6,new,iOS,mobile_app,search,43.543907331300446
59.70606651598238,4,65,7,Friday,7,power_user,iOS,tablet_app,organic,44.89863479866564
31.094575140851674,8,75,10,Wednesday,9,new,iOS,web,deep_link,1.8485995014937928
82.02860938848869,5,78,5,Friday,2,casual,iOS,mobile_app,push_notification,17.759968689356246
55.272470670318036,11,53,9,Friday,7,casual,Android,web,search,18.2686048986625
100.75799254665131,8,56,9,Sunday,0,power_user,iOS,mobile_app,push_notification,47.63453049673334
85.53048673025864,9,83,8,Wednesday,5,regular,iOS,web,deep_link,27.850498639340593
40.92216375893472,15,55,17,Sunday,4,power_user,iOS,mobile_app,organic,35.76316442237179
100.70987716044812,5,40,14,Wednesday,9,regular,iOS,tablet_app,push_notification,42.51160060880843
97.54790111213221,26,67,11,Friday,7,power_user,Android,mobile_app,organic,82.32023279048568
49.56001358847006,21,53,2,Friday,9,power_user,iOS,tablet_app,search,57.83625656354958
38.15773195197807,22,75,13,Saturday,8,power_user,iOS,tablet_app,push_notification,41.648345556684085
83.48698295712218,5,47,4,Thursday,4,casual,Android,web,organic,22.1575334318525
21.071535615070626,21,78,7,Saturday,7,casual,iOS,mobile_app,push_notification,23.94676863908911
27.989443284637456,25,4,9,Wednesday,0,power_user,Android,mobile_app,push_notification,62.27503308327884
5.846661021365634,5,3,3,Thursday,5,power_user,iOS,mobile_app,push_notification,17.169412493335656
95.49630341274592,22,8,9,Thursday,0,power_user,iOS,tablet_app,deep_link,87.00445689831703
81.4578485080837,10,50,6,Friday,7,regular,Android,mobile_app,search,43.59872948228407
86.09401854202854,23,63,20,Friday,9,power_user,iOS,web,deep_link,55.9210195946054
94.7838385675263,14,19,20,Monday,6,regular,Android,mobile_app,search,55.70303953741246
57.77531418690909,24,14,0,Saturday,8,regular,iOS,web,deep_link,61.01308262387892
70.40523753458278,4,77,14,Saturday,2,new,iOS,mobile_app,organic,9.76739411472189
21.076654784680606,11,67,15,Monday,9,regular,Android,mobile_app,search,9.309802283063474
18.170958456636946,8,58,9,Sunday,5,regular,Android,tablet_app,push_notification,4.123744823772066
81.86634060590424,7,43,11,Friday,6,power_user,Android,web,deep_link,49.81879786592297
59.17606370646024,9,37,18,Monday,7,power_user,Android,mobile_app,push_notification,40.36297480267037
70.00215224533672,11,1,9,Thursday,6,casual,Android,web,search,47.84010682560383
92.97486860284295,3,16,1,Saturday,3,casual,Android,mobile_app,push_notification,32.48812699375152
77.99260680006795,21,80,8,Tuesday,6,power_user,Android,mobile_app,push_notification,48.81154413346339
68.66163107566952,16,30,6,Sunday,6,power_user,Android,mobile_app,organic,62.0633636393346
69.30882348572256,24,63,9,Wednesday,8,new,Android,web,deep_link,42.55986899071649
39.9542612772004,21,63,5,Tuesday,4,casual,Android,web,push_notification,33.5327553104431
8.544050975313032,4,27,3,Wednesday,5,power_user,iOS,mobile_app,organic,14.920951885978726
55.22249976172167,2,18,23,Thursday,5,new,iOS,mobile_app,organic,12.111026043529819
29.67723737424586,12,62,3,Friday,1,power_user,Android,web,deep_link,32.594129943632446
51.98079402833316,14,8,16,Sunday,0,new,iOS,mobile_app,search,27.539003173358147
